year,variable,mean,std,min,q1,median,q3,max
2002,VAR_2T,278.6709899902344,21.10614585876465,196.92771911621094,268.76220703125,283.34600830078125,296.42681884765625,323.38067626953125
2003,VAR_2T,278.55584716796875,21.36750030517578,194.2973175048828,268.81005859375,283.4023132324219,296.4471435546875,324.57440185546875
2004,VAR_2T,278.43731689453125,21.494842529296875,194.65023803710938,268.676025390625,283.41229248046875,296.3506164550781,323.78643798828125
2005,VAR_2T,278.80059814453125,21.12771224975586,193.79515075683594,269.0799560546875,283.51043701171875,296.4400329589844,325.46026611328125
2006,VAR_2T,278.6986389160156,21.273252487182617,191.81793212890625,269.1851806640625,283.4576721191406,296.48187255859375,325.12109375
2007,VAR_2T,278.7630920410156,21.038450241088867,194.1266326904297,269.2350158691406,283.3816833496094,296.36285400390625,324.2777099609375
2008,VAR_2T,278.545654296875,21.252052307128906,193.47833251953125,268.96331787109375,283.40582275390625,296.3499450683594,324.228515625
2009,VAR_2T,278.6802673339844,21.169179916381836,196.75990295410156,268.91510009765625,283.411865234375,296.489013671875,324.48101806640625
2010,VAR_2T,278.7425842285156,21.380672454833984,193.07608032226562,269.152099609375,283.5137939453125,296.5342712402344,325.565185546875
2011,VAR_2T,278.7469787597656,21.026561737060547,196.18785095214844,269.2859802246094,283.45025634765625,296.3406066894531,325.3238525390625
2012,VAR_2T,278.74237060546875,21.28151512145996,190.96864318847656,269.27264404296875,283.5887145996094,296.4464416503906,324.85076904296875
2013,VAR_2T,278.7337951660156,21.139755249023438,192.5242156982422,268.62744140625,283.62335205078125,296.47247314453125,324.3800964355469
2014,VAR_2T,278.7705383300781,21.23442268371582,193.98080444335938,268.6797790527344,283.6785583496094,296.5450439453125,324.74530029296875
2015,VAR_2T,278.827880859375,21.373598098754883,191.49729919433594,269.1476135253906,283.5999755859375,296.7580871582031,324.86920166015625
2016,VAR_2T,279.193603515625,21.08892822265625,191.6372528076172,269.8929443359375,283.72918701171875,296.8177795410156,324.2308349609375
2017,VAR_2T,279.0535583496094,21.10753631591797,193.9105987548828,269.58050537109375,283.64996337890625,296.6929931640625,325.374267578125
2018,VAR_2T,279.05938720703125,20.941566467285156,193.87899780273438,269.4557800292969,283.70751953125,296.6260681152344,324.3867492675781
2019,VAR_2T,279.0926208496094,21.170927047729492,194.0175018310547,269.7550048828125,283.712890625,296.7912902832031,325.2148132324219
2020,VAR_2T,279.18768310546875,21.021684646606445,193.68251037597656,270.0491943359375,283.8013916015625,296.68109130859375,326.03692626953125
2021,VAR_2T,278.86456298828125,21.40211296081543,195.18099975585938,269.41302490234375,283.783935546875,296.65667724609375,325.2647705078125
2022,VAR_2T,279.0111083984375,21.102020263671875,193.61924743652344,269.54644775390625,283.8822937011719,296.59368896484375,325.5641784667969
